"ROW_ID","ROW_VERSION","ROW_ETAG","id","createdOn","createdBy","etag","type","currentVersion","parentId","benefactorId","projectId","modifiedOn","modifiedBy","BrodmannArea","PMI","assay","concreteType","study","consortium","dataSubtype","dataType","fileFormat","group","isStranded","libraryPrep","organ","platform","read","readLength","readStrandOrigin","runType","species","specimenID","specimenIdSource","tissue","name","dataFileHandleId","RIN"
"8686659","1","7f90bbe6-7ab2-11e9-98fa-026b0a0ad230","syn8686659","1492032093052","2223305","7f90bbe6-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016718037","3337572",,,"rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R1","101",,"pairedEnd","Human","11307_CER","MayoRNAseq","cerebellum","11307_CER.FCC7KRCACXX_L3ICGTACG.r1.fastq.gz","15150765","9.3"
"8686707","1","7f90d49b-7ab2-11e9-98fa-026b0a0ad230","syn8686707","1492032271182","2223305","7f90d49b-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016724557","3337572",,"11","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R2","101",,"pairedEnd","Human","11309_CER","MayoRNAseq","cerebellum","11309_CER.FCC7BR1ACXX_L2ITAGCTT.r2.fastq.gz","15150803","8"
"8686761","1","7f90f55a-7ab2-11e9-98fa-026b0a0ad230","syn8686761","1492032492584","2223305","7f90f55a-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016726200","3337572",,"2","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R1","101",,"pairedEnd","Human","11311_CER","MayoRNAseq","cerebellum","11311_CER.FCC7AFDACXX_L5IATCACG.r1.fastq.gz","15150854","7.7"
"8686846","1","7f911795-7ab2-11e9-98fa-026b0a0ad230","syn8686846","1492032734189","2223305","7f911795-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016730781","3337572",,"1.5","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R1","101",,"pairedEnd","Human","11312_CER","MayoRNAseq","cerebellum","11312_CER.FCC7E15ACXX_L3IGTGGCC.r1.fastq.gz","15150909","6.9"
"8686924","1","7f913622-7ab2-11e9-98fa-026b0a0ad230","syn8686924","1492032963266","2223305","7f913622-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016733388","3337572",,"1.5","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R2","101",,"pairedEnd","Human","11312_CER","MayoRNAseq","cerebellum","11312_CER.FCC7E15ACXX_L3IGTGGCC.r2.fastq.gz","15150965","6.9"
"8686988","1","7f915620-7ab2-11e9-98fa-026b0a0ad230","syn8686988","1492033171207","2223305","7f915620-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016735573","3337572",,"2.83","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R1","101",,"pairedEnd","Human","11313_CER","MayoRNAseq","cerebellum","11313_CER.FCC7983ACXX_L7IGTGGCC.r1.fastq.gz","15151014","7.8"
"8687059","1","7f917a7b-7ab2-11e9-98fa-026b0a0ad230","syn8687059","1492033386442","2223305","7f917a7b-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016738911","3337572",,,"rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R1","101",,"pairedEnd","Human","11314_CER","MayoRNAseq","cerebellum","11314_CER.FCC7983ACXX_L5IATCACG.r1.fastq.gz","15151065","6.8"
"8687163","1","7f91a5ef-7ab2-11e9-98fa-026b0a0ad230","syn8687163","1492033655357","2223305","7f91a5ef-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016746910","3337572",,"3","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R1","101",,"pairedEnd","Human","11319_CER","MayoRNAseq","cerebellum","11319_CER.FCC7DJAACXX_L6IGATCAG.r1.fastq.gz","15151154","8.8"
"8687228","1","7f91d5d3-7ab2-11e9-98fa-026b0a0ad230","syn8687228","1492033886545","2223305","7f91d5d3-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016748677","3337572",,"3","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R2","101",,"pairedEnd","Human","11319_CER","MayoRNAseq","cerebellum","11319_CER.FCC7DJAACXX_L6IGATCAG.r2.fastq.gz","15151205","8.8"
"8687270","1","7f91ec4e-7ab2-11e9-98fa-026b0a0ad230","syn8687270","1492034055421","2223305","7f91ec4e-7ab2-11e9-98fa-026b0a0ad230","file","1","syn8612213","syn2580853","syn2580853","1494016752364","3337572",,"2.6","rnaSeq",,"rnaSeqReprocessing","AMP-AD",,"geneExpression","fastq",,"FALSE","polyAselection","brain","HiSeq2000","R2","101",,"pairedEnd","Human","11320_CER","MayoRNAseq","cerebellum","11320_CER.FCC79ETACXX_L1IATCACG.r2.fastq.gz","15151251","8.1"
